page,imdb_id,title,year,rating,rating_count,runtime_minutes,certificate,genres,plot,url
21,tt0114924,While You Were Sleeping,1995,6.8,125559,103,PG,"Comedy, Drama, Romance",A Subway clerk falls for a comatose man's brother.,https://www.imdb.com/title/tt0114924/
21,tt1142977,Frankenweenie,2012,6.9,125456,87,PG,"Animation, Comedy, Drama","When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",https://www.imdb.com/title/tt1142977/
21,tt4686844,The Death of Stalin,2017,7.3,125038,107,R,"Comedy, Drama, History","Moscow, 1953. After being in power for nearly 30 years, Soviet dictator, Joseph Vissarionovich Stalin, takes ill and quickly dies. Now the members of the Council of Ministers scramble for power.",https://www.imdb.com/title/tt4686844/
21,tt0425123,Just Like Heaven,2005,6.7,124976,95,PG-13,"Comedy, Drama, Fantasy","A lonely architect finds an amazing apartment, only to discover it's haunted by the spirit of the previous tenant, an overachieving doctor.",https://www.imdb.com/title/tt0425123/
21,tt1226837,Beautiful Boy,2018,7.4,124618,120,R,"Biography, Drama","A family coping with addiction over many years goes through the heartbreaking and inspiring experience of survival, relapse and recovery.",https://www.imdb.com/title/tt1226837/
21,tt0907657,Once,2006,7.8,124597,86,R,"Drama, Music, Musical","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",https://www.imdb.com/title/tt0907657/
21,tt2671706,Fences,2016,7.2,124561,139,PG-13,Drama,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",https://www.imdb.com/title/tt2671706/
21,tt19770238,Aftersun,2022,7.6,124460,102,R,Drama,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't.,https://www.imdb.com/title/tt19770238/
21,tt0366627,The Jacket,2005,7.1,124028,103,R,"Drama, Fantasy, Mystery","A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a doctor's experiments, and his life is completely affected by them.",https://www.imdb.com/title/tt0366627/
21,tt10633456,Minari,2020,7.4,123871,115,PG-13,Drama,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",https://www.imdb.com/title/tt10633456/
21,tt0083929,Fast Times at Ridgemont High,1982,7.1,123867,90,R,"Comedy, Drama",A group of SoCal high school students would rather ignore their studies and instead indulge in their teenage distractions.,https://www.imdb.com/title/tt0083929/
21,tt1067583,Water for Elephants,2011,6.9,123641,120,PG-13,"Drama, Romance","Jacob takes a job as an animal caretaker in a traveling circus. There he meets Marlena, a beautiful circus performer. Their shared compassion for a special elephant Rosie leads to love, but Marlena's cruel husband stands in their way.",https://www.imdb.com/title/tt1067583/
21,tt0096969,Born on the Fourth of July,1989,7.2,123608,145,R,"Biography, Drama, War","The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought.",https://www.imdb.com/title/tt0096969/
21,tt0213847,Malena,2000,7.4,123591,108,R,"Drama, Romance, War","As Italy enters WWII, a teenage boy in a small, narrow-minded Sicilian town becomes obsessed with a young woman.",https://www.imdb.com/title/tt0213847/
21,tt0097239,Driving Miss Daisy,1989,7.3,123413,99,PG,"Comedy, Drama",An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,https://www.imdb.com/title/tt0097239/
21,tt1327773,The Butler,2013,7.2,123197,132,PG-13,"Biography, Drama","As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.",https://www.imdb.com/title/tt1327773/
21,tt0168629,Dancer in the Dark,2000,7.9,123056,135,R,"Crime, Drama, Musical",An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.,https://www.imdb.com/title/tt0168629/
21,tt7068946,The Accountant 2,2025,6.6,122909,132,R,"Action, Crime, Drama",Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.,https://www.imdb.com/title/tt7068946/
21,tt1307068,Seeking a Friend for the End of the World,2012,6.7,122844,101,R,"Adventure, Comedy, Drama","As an asteroid nears Earth, a man finds himself alone after his wife leaves in a panic. He decides to take a road trip to reunite with his high school sweetheart. Accompanying him is a neighbor who inadvertently puts a wrench in his plan.",https://www.imdb.com/title/tt1307068/
21,tt0064276,Easy Rider,1969,7.2,122738,95,R,"Adventure, Drama","Two bikers head from L.A. to New Orleans through the open country and desert lands, and along the way they meet a man who bridges a counter-culture gap of which they had been unaware.",https://www.imdb.com/title/tt0064276/
21,tt0097216,Do the Right Thing,1989,7.9,122658,120,R,"Comedy, Drama","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",https://www.imdb.com/title/tt0097216/
21,tt1188996,My Name Is Khan,2010,7.9,122469,165,PG-13,"Drama, Romance","Rizwan Khan is a Muslim immigrant to the US with Asperger's syndrome. After his family falls apart in the aftermath of 9/11, he begins an epic quest across the country to speak to the President of the United States and clear his name.",https://www.imdb.com/title/tt1188996/
21,tt0186151,Frequency,2000,7.4,122432,118,PG-13,"Crime, Drama, Mystery","An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",https://www.imdb.com/title/tt0186151/
21,tt0368008,The Manchurian Candidate,2004,6.6,122263,129,R,"Drama, Mystery, Sci-Fi","In the midst of the Gulf War, soldiers are kidnapped and brainwashed for sinister purposes.",https://www.imdb.com/title/tt0368008/
21,tt1602613,Only God Forgives,2013,5.7,122254,90,R,"Action, Crime, Drama","Julian, a drug-smuggler thriving in Bangkok's criminal underworld, sees his life get even more complicated when his mother compels him to find and kill whoever is responsible for his brother's recent death.",https://www.imdb.com/title/tt1602613/
21,tt0286499,Bend It Like Beckham,2002,6.7,122221,112,PG-13,"Comedy, Drama, Romance","Jess Bhamra dreams of playing professional football, but her Sikh parents have plans for her: a law degree and a marriage. Jules, a white female striker, spots Jess playing football and invites her to join the local women's team.",https://www.imdb.com/title/tt0286499/
21,tt4731136,A Cure for Wellness,2016,6.4,122061,146,R,"Drama, Fantasy, Horror",A stockbroker unravels the terrifying secrets of a mysterious Swiss spa where guests never leave.,https://www.imdb.com/title/tt4731136/
21,tt0107206,In the Line of Fire,1993,7.2,122028,128,R,"Action, Crime, Drama","Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.",https://www.imdb.com/title/tt0107206/
21,tt1921064,Pompeii,2014,5.5,121830,105,PG-13,"Action, Adventure, Drama","A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him.",https://www.imdb.com/title/tt1921064/
21,tt1315981,A Single Man,2009,7.5,121640,99,R,"Drama, Romance, Thriller","An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles.",https://www.imdb.com/title/tt1315981/
21,tt27403986,Juror #2,2024,7,121598,114,PG-13,"Crime, Drama, Mystery","While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer.",https://www.imdb.com/title/tt27403986/
21,tt3581652,West Side Story,2021,7.1,121567,156,PG-13,"Crime, Drama, Musical","When young Tony and Maria fall in love in 1957 New York City, their romance helps to fuel the fire between the warring Jets and Sharks, two rival gangs vying for control of the streets.",https://www.imdb.com/title/tt3581652/
21,tt1450321,Filth,2013,7,121523,97,R,"Action, Comedy, Crime","A corrupt, drug-addicted policeman with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own inner demons.",https://www.imdb.com/title/tt1450321/
21,tt0405296,A Scanner Darkly,2006,7,121414,100,R,"Animation, Comedy, Crime",An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,https://www.imdb.com/title/tt0405296/
